"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 23 14:14:02 CST 2026","Fri Jan 23 14:15:07 CST 2026","65742","tests.steps","test_00_play_via_bluetooth_input","","","","test_user_start_playback[VIVO-aptX]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_bluetooth_input.feature: user_start_playback"
"passed","Sat Jan 24 09:49:34 CST 2026","Sat Jan 24 09:50:16 CST 2026","41355","tests.steps","test_02_ht_bypass","","","","test_user_turn_on_home_theater_directly","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/02_ht_bypass.feature: user_turn_on_home_theater_directly"
"passed","Thu Jan 22 16:20:19 CST 2026","Thu Jan 22 16:20:31 CST 2026","11915","","","","","","test_user_control_playback[PCM(Mac)-remote, play-PCM]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_pcusb_input.feature: user_control_playback"
"broken","Fri Jan 23 13:44:12 CST 2026","Fri Jan 23 13:44:21 CST 2026","9064","tests.steps","test_02_tone_control","","","","test_user_set_temporary_tone","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/02_tone_control.feature: user_set_temporary_tone"
"passed","Sat Jan 24 14:57:05 CST 2026","Sat Jan 24 14:58:10 CST 2026","65316","","","","","","test_user_change_visualizer[MICHI-VU Meter X4]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/03_visualizer.feature: user_change_visualizer"
"passed","Fri Jan 23 14:33:34 CST 2026","Fri Jan 23 14:33:40 CST 2026","6174","","","","","","test_user_set_temporary_tone[treble, 10]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/02_tone_control.feature: user_set_temporary_tone"
"passed","Fri Jan 23 15:32:19 CST 2026","Fri Jan 23 15:32:34 CST 2026","14966","tests.steps","test_00_12v_trigger","","","","test_user_use_12v_trigger_out[2-power_off!]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_12v_trigger_out.feature: user_use_12v_trigger_out"
"passed","Sat Jan 24 16:01:07 CST 2026","Sat Jan 24 16:02:20 CST 2026","73129","tests.steps","test_02_tone_control","","","","test_user_set_temporary_tone[treble, 10]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/02_tone_control.feature: user_set_temporary_tone"
"passed","Thu Jan 22 16:09:27 CST 2026","Thu Jan 22 16:09:34 CST 2026","7174","","","","","","test_user_start_playback[MacBook-DoP]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_pcusb_input.feature: user_start_playback"
"broken","Sat Jan 24 14:46:01 CST 2026","Sat Jan 24 14:46:21 CST 2026","19989","tests.steps","test_03_visualizer","","","","test_user_set_led_brightness[MICHI-Medium]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/03_adjust_led_brightness.feature: user_set_led_brightness"
