"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 26 16:50:11 CST 2026","Thu Feb 26 16:50:21 CST 2026","9490","tests.steps","test_00_speaker_ab","","","","test_user_select_speaker_mode[B]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_speaker_ab.feature: user_select_speaker_mode"
"passed","Sat Feb 28 10:39:51 CST 2026","Sat Feb 28 10:41:17 CST 2026","86593","tests.steps","test_03_visualizer","","","","test_user_change_visualizer[MICHI-Spectrum 16]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/03_visualizer.feature: user_change_visualizer"
"passed","Fri Feb 27 14:57:31 CST 2026","Fri Feb 27 14:58:05 CST 2026","33716","tests.steps","test_00_play_via_pcusb_input","","","","test_user_start_playback[Windows-DSD]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_pcusb_input.feature: user_start_playback"
"passed","Fri Feb 27 10:14:19 CST 2026","Fri Feb 27 10:14:28 CST 2026","9528","tests.steps","test_00_speaker_ab","","","","test_user_select_speaker_mode[A+B]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_speaker_ab.feature: user_select_speaker_mode"
"passed","Fri Feb 27 14:18:02 CST 2026","Fri Feb 27 14:18:39 CST 2026","36731","tests.steps","test_00_play_via_bluetooth_input","","","","test_user_start_playback[iPhone-AAC]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_bluetooth_input.feature: user_start_playback"
"passed","Fri Feb 27 14:23:36 CST 2026","Fri Feb 27 14:24:16 CST 2026","40293","tests.steps","test_00_play_via_bluetooth_input","","","","test_user_start_playback[VIVO-SBC]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_bluetooth_input.feature: user_start_playback"
"passed","Sat Feb 28 10:25:17 CST 2026","Sat Feb 28 10:26:28 CST 2026","71184","tests.steps","test_03_visualizer","","","","test_user_change_visualizer[MICHI-Power Meter X2]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/03_visualizer.feature: user_change_visualizer"
"passed","Sat Feb 28 10:08:49 CST 2026","Sat Feb 28 10:09:02 CST 2026","12823","","","","","","test_user_change_visualizer[MICHI-Power Meter]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/03_visualizer.feature: user_change_visualizer"
"passed","Thu Feb 26 15:32:50 CST 2026","Thu Feb 26 15:34:01 CST 2026","71453","tests.steps","test_00_adjust_volume","","","","test_user_adjust_volume[tcp, 76]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_adjust_volume.feature: user_adjust_volume"
"failed","Fri Feb 27 13:44:51 CST 2026","Fri Feb 27 13:45:22 CST 2026","31862","tests.steps","test_00_play_via_analog_input","","","","test_user_switch_tracks_during_playback[remote, prev-Analog audio]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_analog_input.feature: user_switch_tracks_during_playback"
"passed","Thu Feb 26 16:46:19 CST 2026","Thu Feb 26 16:46:28 CST 2026","9199","tests.steps","test_00_speaker_ab","","","","test_user_select_speaker_mode[A]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_speaker_ab.feature: user_select_speaker_mode"
"passed","Thu Feb 26 15:34:22 CST 2026","Thu Feb 26 15:34:26 CST 2026","4206","tests.steps","test_00_adjust_volume","","","","test_user_adjust_volume[tcp, vol_45!]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_adjust_volume.feature: user_adjust_volume"
"passed","Fri Feb 27 15:22:54 CST 2026","Fri Feb 27 15:23:33 CST 2026","38965","","","","","","test_user_set_fixed_volume[MICHI-45-BLUETOOTH]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/01_fix_volume.feature: user_set_fixed_volume"
"passed","Sat Feb 28 10:26:44 CST 2026","Sat Feb 28 10:27:57 CST 2026","72385","tests.steps","test_03_visualizer","","","","test_user_change_visualizer[MICHI-Power Meter X4]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/03_visualizer.feature: user_change_visualizer"
"passed","Sat Feb 28 10:38:33 CST 2026","Sat Feb 28 10:39:50 CST 2026","77183","tests.steps","test_03_visualizer","","","","test_user_change_visualizer[MICHI-Spectrum 12]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/03_visualizer.feature: user_change_visualizer"
"passed","Thu Feb 26 15:29:41 CST 2026","Thu Feb 26 15:29:46 CST 2026","5151","tests.steps","test_00_adjust_volume","","","","test_user_adjust_volume[serial, mute_on!]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_adjust_volume.feature: user_adjust_volume"
"passed","Thu Feb 26 15:22:45 CST 2026","Thu Feb 26 15:23:51 CST 2026","65904","tests.steps","test_00_adjust_volume","","","","test_user_adjust_volume[serial, 76]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_adjust_volume.feature: user_adjust_volume"
"passed","Fri Feb 27 14:19:49 CST 2026","Fri Feb 27 14:20:18 CST 2026","29685","","","","","","test_user_start_playback[VIVO-aptX]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_bluetooth_input.feature: user_start_playback"
"passed","Thu Feb 26 14:29:44 CST 2026","Thu Feb 26 14:29:51 CST 2026","6910","","","","","","test_user_adjust_volume[remote, 45]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_adjust_volume.feature: user_adjust_volume"
"passed","Fri Feb 27 15:25:19 CST 2026","Fri Feb 27 15:27:20 CST 2026","120958","tests.steps","test_01_fix_volume","","","","test_user_set_fixed_volume[MICHI-45-BLUETOOTH]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/01_fix_volume.feature: user_set_fixed_volume"
"passed","Thu Feb 26 15:24:08 CST 2026","Thu Feb 26 15:25:14 CST 2026","66244","tests.steps","test_00_adjust_volume","","","","test_user_adjust_volume[serial, 45]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_adjust_volume.feature: user_adjust_volume"
"passed","Fri Feb 27 13:26:51 CST 2026","Fri Feb 27 13:27:11 CST 2026","19764","","","","","","test_user_control_playback[remote, pause-None]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_play_via_analog_input.feature: user_control_playback"
"passed","Thu Feb 26 15:29:46 CST 2026","Thu Feb 26 15:29:51 CST 2026","5000","tests.steps","test_00_adjust_volume","","","","test_user_adjust_volume[serial, mute_off!]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_adjust_volume.feature: user_adjust_volume"
