"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 10 10:42:21 CST 2026","Fri Apr 10 10:45:41 CST 2026","199767","tests.steps","test_05_system_update","","","","test_update_get_disrupted_during_download[USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_get_disrupted_during_download"
"passed","Fri Apr 10 11:05:50 CST 2026","Fri Apr 10 11:08:53 CST 2026","182545","","","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT32,16GB-USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"passed","Fri Apr 10 08:57:26 CST 2026","Fri Apr 10 08:58:56 CST 2026","90230","tests.steps","test_05_system_update","","","","test_check_for_internet_update_when_software_available[MICHI-Internet]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_internet_update_when_software_available"
"passed","Fri Apr 10 13:40:15 CST 2026","Fri Apr 10 13:46:13 CST 2026","358659","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT32,16GB-USB-1-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"passed","Fri Apr 10 08:40:14 CST 2026","Fri Apr 10 08:40:57 CST 2026","43518","","","","","","test_check_for_internet_update_when_up_to_date[MICHI-Internet]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_internet_update_when_up_to_date"
"passed","Thu Apr 09 16:05:19 CST 2026","Thu Apr 09 16:07:18 CST 2026","118987","tests.steps","test_05_system_update","","","","test_check_for_update_when_update_source_is_unavailable[MICHI-USB-No USB Flash Drive Detected]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_update_when_update_source_is_unavailable"
"broken","Thu Apr 09 16:27:28 CST 2026","Thu Apr 09 16:29:11 CST 2026","103533","tests.steps","test_05_system_update","","","","test_check_for_usb_update_when_update_source_is_invalid[MICHI-USB-MBR,NTFS,16GB-No File Detected]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_usb_update_when_update_source_is_invalid"
"passed","Thu Apr 09 16:40:31 CST 2026","Thu Apr 09 16:40:58 CST 2026","26610","","","","","","test_check_for_update_when_software_not_available[MICHI-USB-No File Detected]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_update_when_software_not_available"
"passed","Fri Apr 10 13:33:06 CST 2026","Fri Apr 10 13:37:03 CST 2026","237450","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT,120MB-USB-5-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"passed","Thu Apr 09 15:59:35 CST 2026","Thu Apr 09 15:59:51 CST 2026","16080","","","","","","test_check_for_update_when_update_source_is_unavailable[MICHI-USB-No USB Flash Drive Detected]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_update_when_update_source_is_unavailable"
"failed","Fri Apr 10 08:25:44 CST 2026","Fri Apr 10 08:27:35 CST 2026","111383","tests.steps","test_05_system_update","","","","test_check_for_update_when_software_not_available[MICHI-Internet-No Network]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_update_when_software_not_available"
"passed","Thu Apr 09 15:58:24 CST 2026","Thu Apr 09 15:59:09 CST 2026","44839","","","","","","test_check_for_update_when_update_source_is_unavailable[MICHI-USB-No USB Flash Drive Detected]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_update_when_update_source_is_unavailable"
"failed","Fri Apr 10 09:42:29 CST 2026","Fri Apr 10 09:47:57 CST 2026","328503","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_internet[5-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_internet"
"passed","Fri Apr 10 13:21:59 CST 2026","Fri Apr 10 13:25:24 CST 2026","204558","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT,120MB-USB-2-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"passed","Fri Apr 10 09:02:28 CST 2026","Fri Apr 10 09:08:07 CST 2026","339495","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_internet","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_internet"
"passed","Fri Apr 10 10:27:10 CST 2026","Fri Apr 10 10:28:38 CST 2026","88149","","","","","","test_update_get_disrupted_during_update[Internet]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_get_disrupted_during_update"
"failed","Fri Apr 10 13:57:59 CST 2026","Fri Apr 10 14:02:48 CST 2026","289721","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT32,16GB-USB-5-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"passed","Fri Apr 10 08:39:51 CST 2026","Fri Apr 10 08:40:05 CST 2026","13761","","","","","","test_check_for_internet_update_when_up_to_date[MICHI-Internet]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_internet_update_when_up_to_date"
"passed","Fri Apr 10 13:50:22 CST 2026","Fri Apr 10 13:54:20 CST 2026","238704","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT32,16GB-USB-3-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"passed","Fri Apr 10 10:50:47 CST 2026","Fri Apr 10 10:51:28 CST 2026","40263","tests.steps","test_05_system_update","","","","test_update_get_disrupted_during_update[USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_get_disrupted_during_update"
"passed","Fri Apr 10 11:02:19 CST 2026","Fri Apr 10 11:04:30 CST 2026","131405","","","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT32,16GB-USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"passed","Fri Apr 10 13:28:50 CST 2026","Fri Apr 10 13:33:05 CST 2026","254858","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT,120MB-USB-4-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"failed","Fri Apr 10 09:37:17 CST 2026","Fri Apr 10 09:42:28 CST 2026","311743","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_internet[4-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_internet"
"passed","Fri Apr 10 13:17:05 CST 2026","Fri Apr 10 13:21:58 CST 2026","293424","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT,120MB-USB-1-5]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"failed","Fri Apr 10 11:08:57 CST 2026","Fri Apr 10 11:12:53 CST 2026","236027","tests.steps","test_05_system_update","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT32,16GB-USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"passed","Fri Apr 10 11:13:03 CST 2026","Fri Apr 10 11:15:42 CST 2026","158859","","","","","","test_update_successfully_via_the_usb[MICHI-MBR,FAT32,16GB-USB]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Update_successfully_via_the_USB"
"broken","Thu Apr 09 16:34:23 CST 2026","Thu Apr 09 16:36:22 CST 2026","118895","tests.steps","test_05_system_update","","","","test_check_for_usb_update_when_update_source_is_invalid[MICHI-USB-GUID,APFS,,16GB-No File Detected]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/05_system_update.feature: Check_for_usb_update_when_update_source_is_invalid"
